教室,緯度,経度
SPEC1階,36.104109,140.104899
SPEC2階,36.104109,140.104899
T-DOME,35.542456,138.901898
T-PIRC農場,36.112578,140.100822
アーチェリー場,36.104875,140.10784
アート&デザイン実習室1,36.102885,140.100846
アート&デザイン実習室2,36.102885,140.100846
アイソトープセンター,36.108389,140.09822
クリエイティブメディアラボ,36.085608,140.10643
工房C109,36.102273,140.102157
ゴルフケージ,36.10314,140.104877
セキショウフィールド,36.104276,140.108807
ゼミ室,,
ダンス場,36.102881,140.103821
トリム室,36.10314,140.104877
バスケットボール場,36.102881,140.103821
ユニオン講義室,36.085608,140.10643
ラグビー場,36.10256,140.108754
医学群棟,36.093846,140.102434
屋内プール,36.102358,140.104888
下田臨海実験センター,34.667555,138.935568
霞ヶ浦大山湖畔,36.0038199,140.3686992
各研究室,,
学外,,
学術情報メディアセンターA203,36.104572,140.102085
学術情報メディアセンターB205,36.104572,140.102085
学術情報メディアセンターB206,36.104572,140.102085
弓道場,36.1045182,140.1078494
球技体育館,36.101716,140.103605
共通体育実習棟,36.1027278,140.104325
共同B105,36.094444,140.102113
共同利用棟A101,36.109406,140.102904
共同利用棟A102,36.109406,140.102904
共同利用棟A103,36.109406,140.102904
共同利用棟A201,36.109406,140.102904
共同利用棟A203,36.109406,140.102904
共同利用棟B103,36.094444,140.102113
共同利用棟B202,36.094444,140.102113
共同利用棟B203,36.094444,140.102113
芸術B139,36.102273,140.102157
芸術B234,36.102273,140.102157
芸術B339,36.102273,140.102157
芸術B441,36.102273,140.102157
剣道場,36.101634,140.105319
研究室,,
工房C101,36.102273,140.102157
工房C102,36.102273,140.102157
工房C110,36.102273,140.102157
工房C112,36.102273,140.102157
工房C113,36.102273,140.102157
工房C203,36.102273,140.102157
工房C204,36.102273,140.102157
自然B118,36.106969,140.101536
自然B602,36.106969,140.101536
自然B709,36.106969,140.101536
自然B710,36.106969,140.101536
自然D201,36.107639,140.100914
自然D410,36.107639,140.100914
柔道場,36.101634,140.105319
春日講堂,36.086798,140.105651
人間A111,36.109944,140.102009
人間A426,36.109944,140.102009
人間B132,36.110195,140.10225
人間B201,36.110195,140.10225
人間B301,36.110195,140.10225
人間B516,36.110195,140.10225
人間B520,36.110195,140.10225
人間B523,36.110195,140.10225
人間B524,36.110195,140.10225
人社A201,36.109355,140.102141
人社A202,36.109355,140.102141
人社A205,36.109355,140.102141
人社A206,36.109355,140.102141
人社A207,36.109355,140.102141
人社A422,36.109355,140.102141
人社A519,36.109355,140.102141
人社A620,36.109355,140.102141
人社A720,36.109355,140.102141
人社A721,36.109355,140.102141
人社A722,36.109355,140.102141
人社A725,36.109355,140.102141
人社A820,36.109355,140.102141
人社A823,36.109355,140.102141
人社B216,36.109355,140.102141
人社B217,36.109355,140.102141
人社B218,36.109355,140.102141
人社B505,36.109355,140.102141
人社B717,36.109355,140.102141
菅平,36.523836,138.347472
生農B101,36.111809,140.102112
生農B201,36.111809,140.102112
生農C703,36.111786,140.101715
生農F206,36.112097,140.1026
生農F207,36.112097,140.1026
生農G501,36.112571,140.101894
生農G505,36.112571,140.101894
総合A107,36.111249,140.102931
総合A110,36.111249,140.102931
総合A111,36.111249,140.102931
総合A217,36.111249,140.102931
総合A217A,36.111249,140.102931
総合A217B,36.111249,140.102931
総合B0110,36.108803,140.099816
総合B1001,36.108803,140.099816
総合B107,36.108803,140.099816
総合B108,36.108803,140.099816
総合B112-1,36.108803,140.099816
総合B701-1,36.108803,140.099816
総合B811,36.108803,140.099816
総合B812,36.108803,140.099816
総合D115,36.100375,140.102585
総合D116,36.100375,140.102585
総合D117,36.100375,140.102585
総合D310,36.100375,140.102585
他,,
多目的グラウンド,36.101224,140.108432
体育A413,36.103534,140.0998683
体育A415,36.103534,140.0998683
体育B202,36.103563,140.104768
体育B510,36.103563,140.104768
体育センター周辺,36.10314,140.104877
体芸テニスコート,36.103992,140.105499
体操競技場,36.102881,140.103821
体操場,36.102881,140.103821
大学会館B棟401,36.105737,140.102644
大学会館B棟402,36.105737,140.102644
